"MUNICIPIO","DEPARTAMENTO","POBLACIÓN_5_16","TASA_MATRICULACIÓN_5_16","COBERTURA_NETA","COBERTURA_NETA_TRANSICIÓN","COBERTURA_NETA_PRIMARIA","COBERTURA_NETA_SECUNDARIA","COBERTURA_NETA_MEDIA","COBERTURA_BRUTA","COBERTURA_BRUTA_TRANSICIÓN","COBERTURA_BRUTA_PRIMARIA","COBERTURA_BRUTA_SECUNDARIA","COBERTURA_BRUTA_MEDIA","DESERCIÓN","DESERCIÓN_TRANSICIÓN","DESERCIÓN_PRIMARIA","DESERCIÓN_SECUNDARIA","DESERCIÓN_MEDIA","APROBACIÓN","APROBACIÓN_TRANSICIÓN","APROBACIÓN_PRIMARIA","APROBACIÓN_SECUNDARIA","APROBACIÓN_MEDIA","REPROBACIÓN","REPROBACIÓN_TRANSICIÓN","REPROBACIÓN_PRIMARIA","REPROBACIÓN_SECUNDARIA","REPROBACIÓN_MEDIA","REPITENCIA","REPITENCIA_TRANSICIÓN","REPITENCIA_PRIMARIA","REPITENCIA_SECUNDARIA","REPITENCIA_MEDIA"
"Balboa","Risaralda","1308",0.839,0.8387,0.3186,0.7078,0.7617,0.4815,1,0.6283,0.931,1.1916,0.9907,0.0575,0.0704,0.044,0.0781,0.0337,0.9417,0,0.956,0.9219,0.9607,8e-04,0,0,0,0.0056,0.0108,0,0,0.0274,0
"Belén de Umbría","Risaralda","5999",0.749,0.7493,0.426,0.7041,0.644,0.4,0.8611,0.6903,0.8736,0.9075,0.8241,0.0499,0.0571,0.0379,0.0619,0.0583,0.9495,0,0.9621,0.9381,0.9364,7e-04,0,0,0,0.0053,0.0221,0,0.0282,0.0221,0.0124
"Dosquebradas","Risaralda","37661",0.836,0.8356,0.5627,0.8461,0.7481,0.4054,0.9336,0.7745,1.0266,0.9886,0.6843,0.0369,0.0403,0.0253,0.0536,0.0292,0.8788,0.0098,0.9271,0.8007,0.8902,0.0843,0.0098,0.0475,0.1457,0.0807,0.0071,0.0016,0.0048,0.0124,0.0028
"La Celia","Risaralda","1819",0.677,0.6767,0.329,0.6732,0.5871,0.2943,0.762,0.5613,0.8136,0.8541,0.5485,0.052,0.0575,0.0355,0.0758,0.0417,0.948,0,0.9645,0.9242,0.9583,0,0,0,0,0,0.0016,0.0115,0.0016,0,0
"La Virginia","Risaralda","6480",0.88,0.8799,0.4863,0.8058,0.8378,0.5066,0.9897,0.7486,1.0321,1.112,0.7589,0.0389,0.0489,0.0274,0.0521,0.0329,0.9606,0,0.9726,0.9479,0.963,5e-04,0,0,0,0.0041,0.0125,0.0073,0.0089,0.0197,0.0055
"Marsella","Risaralda","4661",0.669,0.6694,0.4526,0.6547,0.5589,0.1827,0.776,0.7342,0.8464,0.8457,0.4906,0.067,0.0645,0.0313,0.1022,0.1086,0.9322,0,0.9687,0.8978,0.8816,9e-04,0,0,0,0.0099,0.0212,0.0072,0.0169,0.0322,0.0099
"Mistrató","Risaralda","4557",0.766,0.7656,0.3741,0.77,0.4198,0.2493,0.9776,0.7722,1.4387,0.6766,0.428,0.0367,0.0373,0.0321,0.0491,0.0297,0.9625,0,0.9679,0.9509,0.9591,8e-04,0,0,0,0.0112,0.0292,0,0.0284,0.0376,0.0409
"Pueblo Rico","Risaralda","3758",1.092,1.0923,0.863,1.0344,0.5321,0.2552,1.4218,1.5102,1.9115,1.0411,0.785,0.0426,0.0212,0.0168,0.1101,0.0561,0.9565,0,0.9832,0.8899,0.9298,9e-04,0,0,0,0.014,0.0081,0,0.0094,0.0092,0.007
"Quinchía","Risaralda","7661",0.719,0.7187,0.4135,0.6611,0.677,0.4068,0.8424,0.607,0.7895,0.9755,0.8449,0.0386,0.0266,0.0162,0.065,0.0446,0.9584,0,0.9838,0.935,0.9324,0.0031,0,0,0,0.023,0.0149,0.0024,0.0225,0.013,0.0026
"Santa Rosa de Cabal","Risaralda","14434",0.851,0.8509,0.5385,0.8002,0.7668,0.4215,0.9956,0.8323,1.0411,1.0825,0.7931,0.0443,0.045,0.0314,0.0656,0.028,0.9551,0,0.9686,0.9344,0.9673,6e-04,0,0,0,0.0048,0.0251,0.0044,0.0169,0.0435,0.0136
"Santuario","Risaralda","3308",0.7,0.6995,0.412,0.6282,0.6276,0.2541,0.7941,0.6268,0.8365,0.9286,0.5028,0.0556,0.1236,0.0343,0.0755,0.0236,0.944,0,0.9657,0.9245,0.9717,4e-04,0,0,0,0.0047,8e-04,0,9e-04,0.0011,0
"Bucaramanga","Santander","93859",1.011,1.0078,0.6962,1.0072,0.8682,0.5829,1.1188,1.0779,1.1552,1.1223,1.0496,0.0545,0.062,0.0518,0.0666,0.0266,0.919,8e-04,0.933,0.8869,0.9485,0.0265,8e-04,0.0152,0.0465,0.0249,0.0215,0.0048,0.0167,0.0344,0.0122
"Aguada","Santander","375",0.717,0.7173,0.3714,0.6688,0.7355,0.5484,0.7867,0.5429,0.7197,0.9669,0.7419,0.0071,0.0526,0,0.0095,0,0.9644,0,0.9469,0.981,0.9773,0.0285,0,0.0531,0.0095,0.0227,0,0,0,0,0
"Albania","Santander","1184",0.526,0.5262,0.3398,0.428,0.508,0.2705,0.5878,0.5922,0.518,0.7166,0.5217,0.0294,0,0.0077,0.0502,0.0495,0.9574,0,0.9923,0.9228,0.9307,0.0132,0,0,0.027,0.0198,0.0088,0,0,0.0154,0.0198
"Aratoca","Santander","1714",0.92,0.9201,0.3836,0.8936,0.8743,0.6782,1.0805,0.6849,1.0266,1.2584,1.0657,0.0067,0.03,0.0027,0.0088,0.0041,0.9599,0,0.9809,0.9281,0.9672,0.0334,0,0.0164,0.0632,0.0287,0.0024,0,0.0041,0.0018,0
"Barbosa","Santander","5890",0.953,0.952,0.5308,0.9573,0.7903,0.5523,1.0862,0.9404,1.1423,1.0999,0.9918,0.0422,0.0427,0.0213,0.0674,0.05,0.8994,0.0036,0.9616,0.8007,0.9093,0.0585,0.0036,0.0171,0.1319,0.0407,0.0376,0.0036,0.0135,0.0723,0.05
"Barichara","Santander","1497",0.884,0.8818,0.4127,0.9421,0.8065,0.5178,0.9666,0.746,1.0322,1.0343,0.7826,0.0229,0.0256,0.0055,0.0461,0.0181,0.955,0,0.9835,0.9078,0.9759,0.0221,0,0.011,0.0461,0.006,0.0057,0.0128,0.0037,0.0092,0
"Barrancabermeja","Santander","38168",1.198,1.1955,0.7945,1.2305,0.9827,0.5448,1.3395,1.3705,1.4821,1.3218,1.0169,0.0348,0.0572,0.0235,0.0469,0.0282,0.8754,0.0144,0.9131,0.8124,0.879,0.0898,0.0144,0.0634,0.1407,0.0929,0.0548,0.0201,0.0358,0.0929,0.0377
"Betulia","Santander","1174",0.964,0.9642,0.4078,0.896,0.9429,0.4624,1.0758,1.0194,1.074,1.2623,0.7258,0.0371,0.0286,0.0298,0.0441,0.0513,0.934,0.0095,0.9646,0.9053,0.8803,0.0289,0.0095,0.0056,0.0507,0.0684,0.0264,0.0095,0.0186,0.0419,0.0171
"Bolívar","Santander","2738",0.752,0.7524,0.2874,0.7155,0.7347,0.3258,0.8539,0.6113,0.8483,1.0454,0.6222,0.0268,0.0331,0.0182,0.0374,0.0214,0.9428,0.0066,0.9576,0.9216,0.9444,0.0304,0.0066,0.0242,0.041,0.0342,0.01,0.0132,0.0121,0.0097,0
"Cabrera","Santander","531",0.582,0.5819,0.2766,0.5973,0.5588,0.2841,0.6347,0.4468,0.7035,0.6941,0.4432,0.0156,0,0,0.0374,0.0294,0.9844,0,1,0.9626,0.9706,0,0,0,0,0,0.0031,0,0.0063,0,0
"California","Santander","442",0.67,0.6697,0.4872,0.7081,0.5959,0.375,0.7579,0.8462,0.8054,0.7877,0.5278,0.0218,0.0303,0.0201,0.0198,0.0263,0.9782,0,0.9799,0.9802,0.9737,0,0,0,0,0,0,0,0,0,0
"Capitanejo","Santander","1065",0.896,0.8958,0.5851,0.816,0.8921,0.4915,1.0009,0.7021,0.9224,1.2507,0.8757,0.0216,0,0.012,0.0349,0.0256,0.7346,0.0152,0.9014,0.5737,0.5128,0.2438,0.0152,0.0865,0.3914,0.4615,0.0093,0,0.0072,0,0.0513
"Carcasí","Santander","944",0.811,0.8114,0.6118,0.81,0.7459,0.3205,0.9439,0.7412,0.925,1.1221,0.7564,0.0162,0.0317,0.0108,0.0179,0.0222,0.9327,0.0159,0.9486,0.8925,0.9778,0.0511,0.0159,0.0405,0.0896,0,0.0012,0,0.0027,0,0
"Cepitá","Santander","397",0.922,0.9219,0.4722,0.9763,0.7656,0.4375,1.0756,0.8611,1.1183,1.1328,0.9688,0.0165,0,0.0106,0.0283,0.027,0.9559,0,0.9894,0.8868,0.9459,0.0275,0,0,0.0849,0.027,0,0,0,0,0
"Cerrito","Santander","1244",0.904,0.9035,0.566,0.8563,0.8676,0.4471,1.0418,0.8208,0.9923,1.2108,0.9471,0.0161,0.023,0.0058,0.028,0.0137,0.9415,0.023,0.9846,0.8855,0.9452,0.0424,0.023,0.0097,0.0864,0.0411,0.0025,0.0115,0.0039,0,0
"Charalá","Santander","2216",1.031,1.0311,0.4919,0.9546,0.9272,0.706,1.2459,1.0865,1.16,1.3235,1.3874,0.0213,0.0697,0.0098,0.0204,0.0283,0.9189,0.0398,0.9597,0.8832,0.9075,0.0598,0.0398,0.0305,0.0964,0.0643,0.0108,0,0.0118,0.0147,0.0051
"Charta","Santander","480",0.852,0.8521,0.6512,0.7826,0.707,0.5068,0.9479,1.0465,0.8792,1.0191,0.9315,0.0118,0,0.0165,0.0139,0,0.9196,0,0.9011,0.8889,1,0.0686,0,0.0824,0.0972,0,0,0,0,0,0
"Chima","Santander","504",0.919,0.9187,0.5319,0.9434,0.7792,0.5604,0.9802,0.8298,1.1132,0.974,0.7582,0.0263,0,0.0085,0.0606,0.04,0.9672,0,0.9788,0.9394,0.96,0.0066,0,0.0127,0,0,0,0,0,0,0
"Chipatá","Santander","980",0.677,0.6765,0.2841,0.6386,0.7587,0.4321,0.7204,0.4886,0.7181,0.8889,0.5247,0.0087,0,0,0.0189,0.0122,0.9651,0,0.9966,0.9283,0.9512,0.0262,0,0.0034,0.0528,0.0366,0.0044,0.0233,0.0034,0.0038,0
"Cimitarra","Santander","11011",0.649,0.6485,0.2841,0.6563,0.5143,0.3096,0.7475,0.6025,0.8171,0.7724,0.5934,0.0619,0.0873,0.0543,0.0804,0.0201,0.9092,0.0018,0.919,0.8804,0.9512,0.0289,0.0018,0.0267,0.0391,0.0287,0.0029,0.0018,0.0028,0.0044,0
"Concepción","Santander","1026",0.891,0.8908,0.6552,0.9789,0.6558,0.3657,1.0556,0.8391,1.1311,1.1246,0.8457,0.0144,0,0.0124,0.0273,0,0.8747,0,0.9627,0.6914,0.8222,0.1109,0,0.0248,0.2813,0.1778,0.0022,0,0.0021,0.0039,0
"Confines","Santander","526",0.837,0.8365,0.5435,0.9009,0.6805,0.4045,0.9753,0.8043,0.9955,1.0947,0.7865,0.0339,0.027,0.0226,0.0643,0,0.9661,0,0.9774,0.9357,1,0,0,0,0,0,0.009,0,0.0136,0.0071,0
"Contratación","Santander","834",0.791,0.7914,0.44,0.7471,0.803,0.3878,0.9029,0.4933,0.8276,1.1705,0.8095,0.0218,0.027,0.0069,0.0265,0.0505,0.875,0,0.9271,0.7992,0.8889,0.1032,0,0.066,0.1742,0.0606,0.0015,0,0.0035,0,0
"Coromoro","Santander","1586",0.6,0.5996,0.3636,0.5937,0.4724,0.25,0.6892,0.6084,0.7361,0.7402,0.5187,0.0191,0.0115,0.0081,0.0385,0.0194,0.8711,0,0.9206,0.7308,0.9612,0.1098,0,0.0713,0.2308,0.0194,0.0201,0.046,0.0285,0.0032,0.0097
"Curití","Santander","2353",0.884,0.8836,0.3447,0.9036,0.8375,0.5407,1.0013,0.7913,1.0294,1.1361,0.7877,0.0229,0.0552,0.0089,0.0339,0.026,0.9615,0.0061,0.9734,0.9512,0.9591,0.0156,0.0061,0.0178,0.0149,0.0149,0.0014,0,0.001,0.0027,0
"El Carmen de Chucurí","Santander","4213",0.761,0.7607,0.4836,0.7575,0.6514,0.2924,0.8661,0.7568,0.9065,1.024,0.5155,0.0362,0.0494,0.0238,0.0546,0.0229,0.8973,0.0038,0.9381,0.8233,0.9046,0.0665,0.0038,0.0381,0.1221,0.0725,0.0066,0,0.0069,0.0093,0
"El Guacamayo","Santander","384",0.93,0.9297,0.5143,0.8447,0.9194,0.5156,0.9844,0.7714,0.9814,1.1935,0.7031,0.045,0,0.0253,0.0811,0.0222,0.9101,0,0.9684,0.8378,0.8889,0.045,0,0.0063,0.0811,0.0889,0.0026,0.037,0,0,0
"El Peñón","Santander","1300",0.722,0.7223,0.2742,0.7978,0.5152,0.2987,0.8192,0.5806,0.9964,0.798,0.5628,0.0569,0,0.0329,0.1308,0.0377,0.8782,0,0.9232,0.7808,0.8019,0.065,0,0.0439,0.0885,0.1604,0,0,0,0,0
"El Playón","Santander","2661",1.052,1.0519,0.6695,1.0432,0.8502,0.4005,1.1548,1.0297,1.2652,1.2742,0.6825,0.052,0.0617,0.03,0.0844,0.0426,0.8751,0,0.9344,0.7652,0.9021,0.0729,0,0.0356,0.1504,0.0553,0.0125,0.0123,0.0084,0.0206,0.0043
"Encino","Santander","474",0.854,0.8544,0.5833,0.8905,0.7552,0.3151,0.9726,0.8542,0.9952,1.0769,0.7808,0.039,0,0.0191,0.0758,0.0714,0.8585,0,0.9569,0.6742,0.7857,0.1024,0,0.0239,0.25,0.1429,0.0463,0,0.0526,0.0606,0
"Enciso","Santander","626",1.053,1.0527,0.6545,0.9283,1.1,0.6321,1.2204,0.8909,1.0151,1.71,0.9811,0.0265,0.0816,0.0074,0.0224,0.0645,0.8851,0,0.9442,0.847,0.8065,0.0884,0,0.0483,0.1306,0.129,0.0162,0,0.0149,0.0261,0
"Florián","Santander","1443",0.719,0.7193,0.3333,0.6192,0.7249,0.3333,0.806,0.6124,0.7798,1.0153,0.5873,0.0194,0,0.0106,0.0267,0.0368,0.9348,0,0.9575,0.8976,0.9412,0.0458,0,0.0318,0.0757,0.0221,0.015,0,0.0106,0.0267,0
"Floridablanca","Santander","46718",0.934,0.9291,0.6642,0.9403,0.8304,0.4929,1.0032,0.9528,1.0542,1.0612,0.8016,0.0281,0.0433,0.02,0.0361,0.0237,0.9008,5e-04,0.9383,0.8477,0.9059,0.0711,5e-04,0.0418,0.1162,0.0704,0.0118,0.0032,0.0108,0.0176,0.0022
"Galán","Santander","458",1.1,1.0983,0.561,1.0149,0.9388,1,1.321,1.1463,1.1436,1.4286,1.7206,0.0231,0.0638,0.0216,0.026,0,0.9346,0.0213,0.9481,0.9286,0.9205,0.0423,0.0213,0.0303,0.0455,0.0795,0.0077,0,0.0173,0,0
"Gambita","Santander","1077",0.697,0.6973,0.4257,0.7797,0.5192,0.1724,0.7781,0.6238,0.9266,0.8437,0.3448,0.0442,0.0476,0.028,0.0779,0,0.9273,0,0.9324,0.9016,1,0.0286,0,0.0396,0.0205,0,0,0,0,0,0
"Girón","Santander","36747",0.736,0.736,0.5015,0.7571,0.6225,0.3679,0.8284,0.8151,0.8934,0.8529,0.6351,0.0575,0.0764,0.0535,0.0657,0.0366,0.873,0.0103,0.8933,0.8269,0.9053,0.0695,0.0103,0.0531,0.1074,0.0582,0.0781,0.0354,0.0649,0.122,0.0263
"Guaca","Santander","1217",0.817,0.8168,0.5047,0.8665,0.7157,0.3015,0.9244,0.5794,0.9807,1.1091,0.598,0.0155,0,0.0039,0.0406,0,0.9318,0,0.9369,0.9094,0.9367,0.0527,0,0.0592,0.05,0.0633,0.0341,0,0.0493,0.025,0
"Guadalupe","Santander","1082",0.88,0.8799,0.3684,0.7814,0.9114,0.5771,0.9824,0.4947,0.8896,1.1771,1.1029,0.0151,0,0.0097,0.0209,0.0194,0.9227,0,0.9732,0.8381,0.9742,0.0622,0,0.017,0.141,0.0065,0.0141,0,0.017,0.0157,0.0065
"Guapotá","Santander","432",0.877,0.8773,0.5122,0.7581,0.8667,0.6,0.9769,0.9024,0.8925,1.1333,0.9429,0.0558,0.0541,0.0482,0.0821,0.0175,0.8503,0.0541,0.9217,0.709,0.9474,0.0939,0.0541,0.0301,0.209,0.0351,0.0381,0,0.006,0.097,0.0175
"Guavatá","Santander","741",0.605,0.6046,0.2188,0.6384,0.5146,0.3435,0.7341,0.4688,0.7362,0.8243,0.6947,0.0021,0.0333,0,0,0,0.9671,0,0.9912,0.925,0.9859,0.0308,0,0.0088,0.075,0.0141,0.039,0,0.0265,0.0688,0.0282
"Güepsa","Santander","735",1.071,1.0707,0.3438,0.8684,1.0763,0.8092,1.2395,0.6563,1.1645,1.4746,1.2748,0.0192,0.0238,0.0061,0.0252,0.0345,0.904,0,0.9787,0.8297,0.8759,0.0768,0,0.0152,0.1451,0.0897,0,0,0,0,0
"Hato","Santander","432",0.94,0.9398,0.3421,0.9061,0.8841,0.4533,1.0671,0.6842,1.0773,1.3478,0.72,0.0073,0,0.0103,0.0068,0,0.8976,0,0.8923,0.8639,0.9762,0.0951,0,0.0974,0.1293,0.0238,0.0488,0,0.0462,0.0748,0
"Jesús María","Santander","675",0.887,0.8874,0.2586,0.7411,0.9315,0.5776,0.9674,0.3966,0.8972,1.2557,0.8793,0.0235,0,0.0119,0.0377,0.0206,0.9091,0,0.9051,0.8792,0.9794,0.0674,0,0.083,0.083,0,0,0,0,0,0
"Jordán","Santander","219",1.324,1.3242,0.6842,1.2366,1.4348,0.6579,1.4612,0.8947,1.4086,1.9275,1.0263,0.0459,0,0.0229,0.0776,0.0526,0.8233,0,0.916,0.6724,0.9474,0.1307,0,0.0611,0.25,0,0.0212,0,0.0153,0.0345,0
"La Belleza","Santander","1869",0.681,0.6811,0.362,0.6688,0.5792,0.2928,0.7726,0.5644,0.8126,0.8399,0.6542,0.0249,0.0435,0.0269,0.0239,0.0071,0.8508,0,0.8831,0.8178,0.7447,0.1243,0,0.09,0.1584,0.2482,0.0188,0.0109,0.0142,0.0325,0
"Landázuri","Santander","3485",0.692,0.6924,0.4032,0.6916,0.5768,0.3496,0.7644,0.6635,0.8185,0.8419,0.5304,0.0425,0.0392,0.0237,0.0702,0.044,0.9231,0.0049,0.9475,0.8941,0.8791,0.0344,0.0049,0.0288,0.0357,0.0769,0,0,0,0,0
"La Paz","Santander","995",0.73,0.7296,0.3708,0.6754,0.7383,0.4699,0.797,0.5169,0.7685,0.9533,0.7169,0.0239,0,0.0062,0.0528,0.01,0.9162,0.1522,0.9317,0.8908,0.97,0.0598,0.1522,0.0621,0.0563,0.02,0.0213,0,0.0311,0.0176,0.01
"Lebríja","Santander","8475",0.883,0.8822,0.4574,0.8711,0.8094,0.4723,1.0064,0.7912,1.0765,1.0905,0.7816,0.0328,0.0542,0.0237,0.0415,0.0281,0.8906,0,0.9431,0.8284,0.8493,0.0766,0,0.0332,0.1301,0.1226,0.0112,0,0.0024,0.0252,0.0089
"Los Santos","Santander","2551",0.969,0.9686,0.5023,0.9445,0.9345,0.5407,1.1835,0.8688,1.3177,1.2633,0.8688,0.0191,0.0417,0.0137,0.0225,0.0157,0.9309,0,0.9442,0.901,0.9497,0.0499,0,0.0421,0.0765,0.0346,0.0195,0.0052,0.0163,0.0259,0.022
"Macaravita","Santander","421",1.055,1.0546,0.6944,0.8983,1.0741,0.6575,1.228,1.0556,0.9887,1.5926,1.2192,0.0134,0,0,0.0349,0,0.8929,0.0263,0.9543,0.8314,0.8413,0.0938,0.0263,0.0457,0.1337,0.1587,0,0,0,0,0
"Málaga","Santander","3497",1.195,1.1945,0.6869,1.0709,1.1926,0.6939,1.3998,0.963,1.212,1.7238,1.4503,0.0193,0.0324,0.0052,0.0286,0.027,0.8468,0.0036,0.9289,0.7686,0.7841,0.1339,0.0036,0.0659,0.2028,0.1889,0.0191,0,0.0183,0.0239,0.0165
"Matanza","Santander","1060",1.066,1.066,0.6452,1.0624,0.9419,0.5287,1.2019,0.9785,1.2183,1.439,0.8103,0.0194,0.0455,0.0133,0.0203,0.0246,0.9461,0,0.9602,0.9239,0.9508,0.0345,0,0.0265,0.0558,0.0246,0,0,0,0,0
"Mogotes","Santander","2427",0.899,0.8945,0.4933,0.8868,0.7897,0.4209,1.0585,0.7489,1.1589,1.1654,0.7373,0.0236,0.0539,0.0189,0.0215,0.0315,0.9208,0.018,0.9183,0.9126,0.955,0.0556,0.018,0.0628,0.0659,0.0135,0.0178,0.006,0.0314,0.0054,0
"Molagavita","Santander","1017",0.71,0.7099,0.2584,0.6723,0.7399,0.4767,0.8024,0.4719,0.7573,0.9814,0.7513,0.0151,0.0238,0.0128,0.0146,0.0202,0.9298,0,0.9744,0.8723,0.9293,0.055,0,0.0128,0.1131,0.0505,0.0041,0,0.0032,0.0073,0
"Ocamonte","Santander","979",0.818,0.8182,0.5402,0.881,0.7335,0.3007,0.8733,0.7701,1.0405,0.884,0.451,0.0252,0.0448,0.0229,0.0264,0.0159,0.8906,0,0.8947,0.8453,0.9841,0.0841,0,0.0824,0.1283,0,0.0144,0,0.0137,0.0226,0
"Oiba","Santander","2744",0.766,0.7657,0.3482,0.6392,0.7525,0.6635,0.844,0.5182,0.7435,0.9618,1.0716,0.0196,0.0234,0.009,0.0321,0.016,0.9294,0,0.9638,0.885,0.9282,0.051,0,0.0271,0.0828,0.0559,0.0118,0.0078,0.0136,0.0136,0.0053
"Onzaga","Santander","1140",0.639,0.6395,0.3725,0.5918,0.5741,0.3898,0.7184,0.549,0.6918,0.8032,0.7119,0.013,0.0714,0.0059,0.0135,0,0.9335,0,0.9764,0.861,0.9595,0.0535,0,0.0177,0.1256,0.0405,0.0101,0,0.0177,0.0045,0
"Palmar","Santander","666",0.416,0.4159,0.2203,0.3571,0.4112,0.3274,0.464,0.339,0.4321,0.5467,0.4513,0.0211,0.05,0.0083,0.0392,0,0.8662,0,0.9008,0.7647,0.9756,0.1127,0,0.0909,0.1961,0.0244,0,0,0,0,0
"Palmas del Socorro","Santander","439",1,1,0.7436,0.9891,0.8521,0.5811,1.2665,1.2051,1.4239,1.2324,0.973,0.0086,0,0.0142,0.0069,0,0.9914,0,0.9858,0.9931,1,0,0,0,0,0,0,0,0,0,0
"Páramo","Santander","1016",0.826,0.8258,0.5444,0.8045,0.6918,0.5806,1.0138,0.9111,0.8955,1.1027,1.2194,0.0313,0.0244,0,0.0612,0.0734,0.8772,0,0.9695,0.7446,0.8073,0.0915,0,0.0305,0.1942,0.1193,0.0012,0,0.0025,0,0
"Piedecuesta","Santander","29632",0.987,0.9855,0.6788,1.0048,0.8665,0.5174,1.0774,0.9578,1.1414,1.1313,0.8794,0.0287,0.0281,0.019,0.0417,0.025,0.892,0.0012,0.9427,0.8186,0.8876,0.0793,0.0012,0.0383,0.1397,0.0874,0.0159,0.0054,0.0113,0.0252,0.0104
"Pinchote","Santander","1080",0.635,0.6352,0.2903,0.5991,0.5989,0.4302,0.7454,0.5484,0.685,0.9237,0.648,0.0224,0.0392,0.0193,0.0268,0.011,0.9356,0,0.9389,0.9119,0.978,0.042,0,0.0418,0.0613,0.011,0.0714,0,0.0675,0.1034,0.033
"Puente Nacional","Santander","2423",1.316,1.3157,0.4101,0.9248,1.6318,1.1969,1.5014,0.6912,1.1294,2.0439,1.8871,0.0319,0.0467,0.0201,0.0393,0.0316,0.9194,0,0.9553,0.8868,0.9262,0.0486,0,0.0246,0.0739,0.0422,0.0144,0,0.0091,0.0246,0.003
"Puerto Parra","Santander","2024",0.735,0.7347,0.4551,0.8096,0.5106,0.2166,0.8305,0.7528,1.0212,0.8207,0.4095,0.0766,0.1343,0.0713,0.0866,0.0089,0.8559,0,0.8677,0.7995,0.9732,0.0676,0,0.061,0.1139,0.0179,0,0,0,0,0
"Puerto Wilches","Santander","7428",1.015,1.0151,0.4648,1.0375,0.7868,0.3241,1.1836,1.1019,1.3843,1.197,0.665,0.0534,0.0422,0.0446,0.0748,0.0408,0.8844,0,0.9054,0.8172,0.9217,0.0623,0,0.05,0.108,0.0375,0.0488,0.0122,0.0462,0.0696,0.0261
"Rionegro","Santander","5879",0.884,0.8842,0.4892,0.9022,0.7599,0.3957,1.0019,0.908,1.1384,1.0277,0.6599,0.042,0.0569,0.0374,0.0484,0.0315,0.8992,0.0022,0.9216,0.8524,0.9056,0.0588,0.0022,0.0411,0.0991,0.063,0.0074,0,0.0093,0.0085,0
"Sabana de Torres","Santander","3872",1.799,1.7962,1.1357,1.8269,1.418,0.6435,2.0258,1.8584,2.3653,2.0119,1.287,0.0609,0.0688,0.0585,0.0733,0.0232,0.8649,0,0.8863,0.7917,0.9358,0.0743,0,0.0552,0.135,0.041,0.0025,0.0057,0.0015,0.0035,0.0018
"San Andrés","Santander","1513",1.069,1.0694,0.5448,0.9388,1.1173,0.7031,1.2386,0.7761,1.0502,1.5556,1.3477,0.0281,0.0096,0.0075,0.0491,0.0372,0.8715,0,0.9372,0.7797,0.8773,0.1004,0,0.0553,0.1712,0.0855,0.0149,0,0.0149,0.0222,0.0037
"San Benito","Santander","829",0.537,0.5368,0.4533,0.5057,0.5301,0.2681,0.5609,0.5733,0.6,0.6015,0.3768,0.0152,0.0465,0.0048,0.0128,0.0385,0.9848,0,0.9952,0.9872,0.9615,0,0,0,0,0,0.0022,0,0,0.0064,0
"San Gil","Santander","7956",1.298,1.2976,0.9226,1.2634,1.1686,0.8371,1.4784,1.2944,1.4303,1.5809,1.4859,0.0293,0.0399,0.0186,0.0416,0.024,0.9107,0.0018,0.95,0.8639,0.8954,0.0601,0.0018,0.0313,0.0945,0.0806,0.0076,0,0.0071,0.0099,0.007
"San Joaquín","Santander","455",0.923,0.9231,0.6098,0.9263,0.7917,0.2875,0.9978,0.9024,1.0789,1.1597,0.5625,0.012,0,0.0098,0.0138,0.0357,0.9181,0,0.9512,0.8483,0.9286,0.0699,0,0.039,0.1379,0.0357,0,0,0,0,0
"San José de Miranda","Santander","902",0.692,0.6918,0.3951,0.6693,0.6132,0.2745,0.8603,0.7284,0.7953,1.0732,0.6928,0.0107,0,0.0099,0.0089,0.0286,0.8582,0,0.9439,0.7054,0.8571,0.1311,0,0.0462,0.2857,0.1143,0.0168,0.0169,0.0033,0.0402,0
"San Miguel","Santander","449",1.02,1.02,0.6098,0.8656,1.0786,0.4146,1.2316,0.9024,0.9677,1.8143,1,0.0122,0,0,0.0236,0.0159,0.9126,0,1,0.8066,0.9683,0.0752,0,0,0.1698,0.0159,0.0285,0,0.0222,0.0472,0
"San Vicente de Chucurí","Santander","7661",0.807,0.8073,0.4067,0.7734,0.7141,0.4608,0.9107,0.7208,0.9442,0.9984,0.7454,0.0497,0.0508,0.0316,0.0757,0.0435,0.8845,0.0309,0.9125,0.8322,0.9079,0.0658,0.0309,0.0559,0.0921,0.0486,0.011,0.0287,0.0093,0.0127,0.0026
"Santa Bárbara","Santander","440",0.945,0.9455,0.3846,0.8684,0.8857,0.6056,1.1295,0.641,1.0053,1.5857,0.831,0.0399,0,0.0052,0.1026,0,0.8685,0,0.9476,0.7244,0.9444,0.0915,0,0.0471,0.1731,0.0556,0.0563,0.04,0.0733,0.0577,0
"Santa Helena del Opón","Santander","1037",0.712,0.7117,0.3936,0.7587,0.5848,0.2308,0.8467,0.5532,0.9327,0.9939,0.5275,0.0365,0.0577,0.0199,0.0667,0.0164,0.9527,0,0.9677,0.92,0.9836,0.0108,0,0.0124,0.0133,0,0.0095,0,0.0124,0.0089,0
"Simacota","Santander","1689",1.045,1.045,0.5649,1.0305,0.8939,0.3466,1.2771,1.0649,1.2982,1.5903,0.7329,0.0216,0.0183,0.0177,0.0311,0.0078,0.9397,0.0061,0.9546,0.8984,0.9845,0.0387,0.0061,0.0277,0.0705,0.0078,0.0072,0,0.0044,0.0148,0
